,Date,Open,High,Low,Close,Volume,SMA,TENKAN,KIJUN,senkou_span_a,SENKOU,CHIKOU,RSI,EMA
0,20061213,19.4343,19.4343,19.4343,19.4343,83530,0,0,0,0,0,28.0826,0,19.4343
1,20061214,20.406,20.406,20.406,20.406,280710,0,0,0,0,0,29.1514,100,19.9741333333333
2,20061215,21.4263,21.4263,21.4263,21.4263,265300,0,0,0,0,0,29.2486,100,20.5692836065574
3,20061218,22.4952,22.4952,22.4952,22.4952,215790,0,0,0,0,0,28.1797,100,21.2216943089431
4,20061219,23.6127,23.6127,23.6127,23.6127,137520,0,0,0,0,0,28.1797,100,21.9329644455021
5,20061220,24.7788,24.7788,24.7788,24.7787,220120,0,0,0,0,0,28.1797,100,22.7043170006072
6,20061221,24.7787,24.3414,23.5641,23.5641,156400,0,0,0,0,0,29.3944,78.0998354955901,22.9219051408302
7,20061222,22.398,22.398,22.398,22.398,143500,0,0,0,0,0,30.8519,63.6806137823442,22.7960008834504
8,20061225,21.2805,21.2805,21.2805,21.2806,22140,0,22.10655,0,0,0,31.3378,53.489576014169,22.4459357614308
9,20061226,22.3009,22.3009,20.2603,22.3009,300150,0,22.51955,0,0,0,30.1232,59.8136084006515,22.4134393315559
10,20061227,22.3009,23.3212,22.3009,23.3212,413230,0,22.51955,0,0,0,30.609,64.9464769615132,22.612052178925
11,20061228,23.3212,23.3212,22.8353,23.3212,144840,22.3616,22.51955,0,0,0,29.1029,64.9464769615132,22.7643473903807
12,20061229,22.5924,22.5924,22.3495,22.3494,69760,22.604525,22.51955,0,0,0,30.3661,56.916120943967,22.676530106042
13,20070102,21.3777,21.8635,21.3777,21.3777,81170,22.6855,22.51955,0,0,0,30.8519,50.2285305350863,22.4048138787804
14,20070103,21.8636,21.8636,21.3777,21.8636,74660,22.7219416666667,22.30085,0,0,0,29.3458,53.1904177539482,22.2926237642915
15,20070104,22.9325,22.9325,22.9325,22.9325,148510,22.7583833333333,21.79075,0,0,0,27.8882,58.9742938515506,22.4243055234422
16,20070105,24.05,24.05,24.05,24.0499,377800,22.7948166666667,22.15515,0,0,0,29.2486,63.9842401510654,22.7569140980163
17,20070108,24.7787,24.7787,23.807,23.807,351470,22.7138416666667,22.5195,0,0,0,30.609,62.2059108251332,22.9707840163511
