,Date,Open,High,Low,Close,Volume,SMA,TENKAN,KIJUN,senkou_span_a,SENKOU,CHIKOU,RSI,EMA
0,20070919,6.2929,6.2929,6.2929,6.2929,307840,0.0,0.0,0.0,0.0,0.0,8.7598,0.0,6.2929
1,20070920,6.595,6.595,6.5446,6.595,794790,0.0,0.0,0.0,0.0,0.0,8.6087,100.0,6.460733333333333
2,20070921,6.8971,6.8971,6.7964,6.8971,1224660,0.0,0.0,0.0,0.0,0.0,8.206,100.0,6.639572131147539
3,20070924,7.1992,7.1992,7.1992,7.1991,551130,0.0,0.0,0.0,0.0,0.0,8.2563,100.0,6.82911409214092
4,20070925,7.5515,7.5515,7.4508,7.5515,962110,0.0,0.0,0.0,0.0,0.0,8.1556,100.0,7.044007567824845
5,20070926,7.9039,7.9039,7.7529,7.9039,781900,0.0,0.0,0.0,0.0,0.0,8.1053,100.0,7.277086226038684
6,20070927,7.8032,7.9039,7.5515,7.5515,562590,0.0,0.0,0.0,0.0,0.0,7.9039,78.75113030830202,7.3465330315349595
7,20070928,7.7529,7.9039,7.7025,7.9039,833570,0.0,0.0,0.0,0.0,0.0,8.2563,82.70810376736054,7.480478795345274
8,20071001,8.2563,8.2563,8.206,8.2563,781020,0.0,7.2745999999999995,0.0,0.0,0.0,8.6591,85.59662882886992,7.659697342489358
9,20071002,8.658999999999999,8.658999999999999,8.4577,8.6591,887990,0.0,7.601799999999999,0.0,0.0,0.0,8.357000000000001,88.05317188312513,7.8836215530163924
10,20071003,9.0618,9.0618,9.0115,9.0618,1027610,0.0,7.9291,0.0,0.0,0.0,8.1556,89.90659573206842,8.141400265180074
11,20071004,9.5149,9.5149,9.5149,9.5149,1206640,7.782249999999999,8.357050000000001,0.0,0.0,0.0,8.4577,91.503748960311,8.436370405864647
12,20071005,9.968,9.968,9.5149,9.7163,1116040,8.067533333333332,8.7094,0.0,0.0,0.0,8.206,92.1019906139844,8.707247976629713
13,20071008,9.666,9.9177,9.5149,9.7163,949940,8.327641666666667,8.75975,0.0,0.0,0.0,7.8032,92.1019906139844,8.918342412788382
14,20071009,9.5149,9.5653,9.2632,9.2632,527100,8.524816666666666,8.75975,0.0,0.0,0.0,8.0046,77.80733170391017,8.989829146053314
15,20071010,9.4142,9.4646,9.2129,9.2632,599460,8.696824999999999,8.83525,0.0,0.0,0.0,8.055,77.80733170391015,9.04608682986677
16,20071011,9.2129,9.2129,9.0115,9.0115,362850,8.818491666666665,9.087,0.0,0.0,0.0,8.0046,70.7344812859206,9.03901011033621
17,20071012,8.9612,9.0618,8.9108,9.0618,527800,8.914983333333332,9.21285,0.0,0.0,0.0,8.0046,71.29602738069286,9.04365170378304
18,20071015,9.0618,9.3135,9.0618,9.3135,326950,9.061816666666665,9.4394,0.0,0.0,0.0,7.9039,73.98593474754449,9.098410520746988
19,20071016,9.3135,9.3135,9.1121,9.1122,236970,9.162508333333333,9.4394,0.0,0.0,0.0,7.8032,68.46033315453718,9.101200583834922
20,20071017,9.0115,9.0619,8.9612,8.9611,272570,9.221241666666666,9.4394,0.0,0.0,0.0,7.8032,64.56256035331442,9.072919621228257
21,20071018,8.8604,9.1625,8.8101,8.8101,398500,9.233825000000001,9.363900000000001,0.0,0.0,0.0,8.1556,60.834971634405925,9.019964960553414
22,20071019,9.0115,9.2128,8.9611,9.2129,525830,9.246416666666667,9.1877,0.0,0.0,0.0,8.5584,66.40677895343802,9.058781098478645
23,20071022,9.0619,9.0619,8.9612,9.0618,280000,9.208658333333334,9.137350000000001,0.0,0.0,0.0,8.508,62.797663184611885,9.059387743583427
24,20071023,8.8604,8.9611,8.8101,8.8101,192730,9.133141666666669,9.0618,0.0,0.0,0.0,8.3067,57.218977125828786,9.009341124083937
25,20071024,8.8101,9.0618,8.8101,8.9108,182750,9.066016666666668,9.0618,8.13045,0.0,0.0,8.055,58.79607261820241,8.9895731542443
26,20071025,8.9108,8.9611,8.7598,8.7598,163650,9.024066666666668,9.03665,8.2563,0.0,0.0,8.055,55.49257596146281,8.943507142613704
27,20071026,8.7095,8.7095,8.6088,8.6087,212630,8.969525,8.96115,8.382200000000001,0.0,0.0,8.055,52.324450095810484,8.8764159408332
28,20071029,8.206,8.4073,8.206,8.206,457260,8.902400000000002,8.709399999999999,8.5836,0.0,0.0,8.055,44.95773587887954,8.742124947419482
29,20071030,8.206,8.357000000000001,8.206,8.2563,146250,8.835275000000001,8.709399999999999,8.7094,0.0,0.0,7.9039,45.980766436774886,8.644839524415211
30,20071031,8.2563,8.3066,8.1556,8.1556,140770,8.738783333333332,8.6842,8.75975,0.0,0.0,7.9039,44.2092247183779,8.546894619596713
31,20071101,8.2059,8.2563,7.9542,8.1053,195380,8.654874999999999,8.50805,8.75975,0.0,0.0,7.9039,43.31158420582249,8.458505666734151
32,20071102,8.055,8.055,7.9039,7.9039,197100,8.566774999999998,8.48285,8.83525,0.0,0.0,7.8032,39.82484249176779,8.34751418417758
