,Date,Open,High,Low,Close,Volume,sma7,sma25,sma99,psar,MACD,RSI
3433,20070919,6.2929,6.2929,6.2929,6.2929,307840,6.2929,6.2929,6.2929,6.2929,0.0,100.0
3432,20070920,6.595,6.595,6.5446,6.595,794790,6.44395,6.44395,6.44395,6.595,0.024099145299145697,100.0
3431,20070921,6.8971,6.8971,6.7964,6.8971,1224660,6.595,6.595,6.595,6.2929,0.06680475320817258,100.0
3430,20070924,7.1992,7.1992,7.1992,7.1991,551130,6.7460249999999995,6.7460249999999995,6.7460249999999995,6.317068000000001,0.1235934231858069,100.0
3429,20070925,7.5515,7.5515,7.4508,7.5515,962110,6.907119999999999,6.907119999999999,6.907119999999999,6.369995920000001,0.1947891797416652,100.0
3428,20070926,7.9039,7.9039,7.7529,7.9039,781900,7.073249999999999,7.073249999999999,7.073249999999999,6.4645162464000006,0.2764611920889415,100.0
3427,20070927,7.8032,7.9039,7.5515,7.5515,562590,7.141571428571427,7.141571428571427,7.141571428571427,6.608454621760001,0.30918700014348754,78.75113030830202
3426,20070928,7.7529,7.9039,7.7025,7.9039,833570,7.371714285714284,7.236862499999999,7.236862499999999,6.7379991595840005,0.35941506058344785,82.70810376736054
3425,20071001,8.2563,8.2563,8.206,8.2563,781020,7.609042857142855,7.350133333333332,7.350133333333332,6.8545892436256,0.42278331237448885,85.59662882886994
3424,20071002,8.659,8.659,8.4577,8.6591,887990,7.860757142857141,7.481029999999999,7.481029999999999,7.0227945343905285,0.49974495338029534,88.05317188312515
3423,20071003,9.0618,9.0618,9.0115,9.0618,1027610,8.126857142857142,7.624736363636362,7.624736363636362,7.251863299575855,0.5864716527052982,89.90659573206842
3422,20071004,9.5149,9.5149,9.5149,9.5149,1206640,8.407342857142856,7.782249999999999,7.782249999999999,7.5414531716437185,0.683881213114284,91.503748960311
3421,20071005,9.968,9.968,9.5149,9.7163,1116040,8.666257142857141,7.9310230769230765,7.9310230769230765,7.8966736007478495,0.7684718235416756,92.1019906139844
3420,20071008,9.666,9.9177,9.5149,9.7163,949940,8.975514285714285,8.058542857142857,8.058542857142857,8.310938880598279,0.8259890046623752,92.1019906139844
3419,20071009,9.5149,9.5653,9.2632,9.2632,527100,9.169699999999997,8.138853333333333,8.138853333333333,8.642351104478623,0.8254946137493917,77.80733170391015
3418,20071010,9.4142,9.4646,9.2129,9.2632,599460,9.313542857142854,8.209125,8.209125,8.907480883582899,0.8156999244158651,77.80733170391015
3417,20071011,9.2129,9.2129,9.0115,9.0115,362850,9.363885714285713,8.256323529411766,8.256323529411766,9.968,0.7786516644033776,70.73448128592058
3416,20071012,8.9612,9.0618,8.9108,9.0618,527800,9.363885714285713,8.301072222222224,8.301072222222224,9.94887,0.7447642622351509,71.29602738069285
3415,20071015,9.0618,9.3135,9.0618,9.3135,326950,9.335114285714285,8.354357894736843,8.354357894736843,9.9073472,0.7298055937302994,73.98593474754449
3414,20071016,9.3135,9.3135,9.1121,9.1122,236970,9.248814285714285,8.39225,8.39225,9.867485312,0.6937108466825617,68.46033315453718
3413,20071017,9.0115,9.0619,8.9612,8.9611,272570,9.14092857142857,8.419338095238096,8.419338095238096,9.82921789952,0.6454723884920845,64.56256035331441
3412,20071018,8.8604,9.1625,8.8101,8.8101,398500,9.0762,8.437100000000001,8.437100000000001,9.7924811835392,0.5882773299269868,60.83497163440592
3411,20071019,9.0115,9.2128,8.9611,9.2129,525830,9.069014285714287,8.47083043478261,8.47083043478261,9.733538312526848,0.5688945651830828,66.40677895343802
3410,20071022,9.0619,9.0619,8.9612,9.0618,280000,9.076200000000002,8.495454166666667,8.495454166666667,9.678132013775237,0.5351719481879087,62.79766318461189
3409,20071023,8.8604,8.9611,8.8101,8.8101,192730,9.04024285714286,8.508040000000001,8.508040000000001,123.0,0.4825736363177544,57.218977125828786
